location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,expected_action,action
21,237.000962,147866666.80949563,0,5512536,11851264,279052,8516,3,1.0,11,10
21,238.000224,160550618.323787,0,5512536,11834880,278589,1187,3,1.0,11,2
21,239.000165,154149768.16175175,2,8508448,11856896,291642,561,3,1.0,11,10
21,240.000512,133122955.90588737,2,8508448,11837440,323390,1775,3,1.0,11,11
21,241.000721,149915039.67180243,1313,4807360,11854336,274063,2696,3,1.0,11,1
21,242.001902,137201420.24027437,0,4807360,11797504,278925,4914,3,1.0,11,1
21,243.000849,135408886.26064923,0,5644304,11843072,282125,1437,3,1.0,11,5
21,244.000872,138408847.57326534,2,5652992,11862016,277048,2077,3,1.0,11,5
21,245.00057,139502740.16211805,2,5754352,9980928,271829,3620,3,1.0,11,11
21,246.000253,145798278.7740436,0,7070584,11848704,274218,1540,3,1.0,11,11
21,247.00068,112149743.19888563,2785,5431448,11828224,329119,2075,3,1.0,11,7
21,248.00105,136264458.65718937,0,2373272,11812864,272350,2101,3,1.0,11,1
21,249.001076,90175192.5609004,2,5435792,11856896,275944,1157,3,1.0,11,11
21,250.000689,119583944.53616722,1,5435792,11837440,275885,4670,3,1.0,11,11
21,251.000216,159458979.67898634,3,6382784,11847168,288277,1647,3,1.0,11,3
21,252.000758,136241031.2793032,1,6385680,11844608,289558,4262,3,1.0,11,11
21,253.000961,198140638.7912572,2,6411744,11840512,302084,1734,1,1.15,3,9
21,254.000311,119615412.66074714,1,6644872,11813376,285124,1783,3,1.0,11,2
21,255.000963,180237565.109276,216,3363704,8195584,333489,1668,3,1.0,11,2
21,256.000758,144733155.45624626,1,5816616,11840512,273219,1913,3,1.0,11,11
21,257.000521,135298368.09880883,1,5816616,11847168,284530,2628,3,1.0,11,11
21,258.000965,135206265.03557855,2,6830216,11811328,290342,11717,3,1.0,11,10
21,259.000066,122793785.6832822,1524,4025440,11852800,283949,1402,3,1.0,11,11
21,260.000943,67050059.57282004,2,4023992,11857920,282520,1777,2,0.9,6,6
21,261.001058,78634154.16560534,3,3362256,10358272,292815,10706,3,1.0,11,11
21,262.001081,146797262.57770568,44,4726272,11830784,275805,1633,3,1.0,11,5
21,263.001083,145751768.62559858,1,4750888,11780096,277294,3737,3,1.0,11,7
21,264.000517,46163472.7890437,323,3638824,11610112,279722,12606,3,1.0,11,11
21,265.001072,117375364.15955652,0,3638824,11828224,276952,6294,3,1.0,11,10
21,266.000392,135358351.65761265,0,3750320,11843072,269291,1411,3,1.0,11,11
21,267.000477,89121385.0188448,1,3622896,11843072,288744,6282,3,1.0,11,10
21,268.0002,44052393.754675984,0,3622896,11844608,305243,5239,3,1.0,11,1
21,269.000155,136321014.65106854,0,3796656,11834880,279697,1157,1,1.25,5,8
21,270.00011,78646739.2217703,1,4273048,11844608,276659,2582,2,0.9,6,4
21,271.001054,136186317.6152521,0,4299112,11829248,274967,1965,3,1.0,11,1
21,272.001079,46136189.0289135,1,4458392,11844608,286765,5161,3,1.0,11,11
21,273.000919,168847748.07136056,0,6615912,11847168,285913,2835,3,1.0,11,11
21,274.001103,156209072.29201475,2,3576560,8309760,301516,4998,3,1.0,11,11
21,275.00106,94375895.79929776,1004,6411744,9184256,330185,1696,3,1.0,11,8
21,276.000546,74487180.2394832,1896,4507624,9373184,313178,2607,3,1.0,11,11
21,277.000805,134182969.0040324,1054,9091992,11837440,266157,1713,3,1.0,11,7
21,278.001081,133132411.51425368,2,9236792,11843072,313570,2281,3,1.0,11,11
21,279.001077,116392400.81435624,954,5314160,11829248,273473,2221,3,1.0,11,7
21,280.000844,198227049.82354546,1,5314160,11849728,269517,1890,1,1.15,3,3
21,281.001087,91203954.1332212,1,6239432,11857920,270005,4608,2,0.9,6,10
21,282.001105,131069640.66746941,739,4449704,11844608,278100,1502,3,1.0,11,11
21,283.001095,124781793.51251209,1,4448256,11860480,267682,2753,3,1.0,11,11
21,284.000278,134327473.66230112,0,4448256,11834880,276596,2074,3,1.0,11,4
21,285.000652,116348426.39583161,1,5224384,11825152,265653,1070,3,1.0,11,1
21,286.001065,181328769.92022756,0,5241760,11828224,293261,2210,3,1.0,11,11
21,287.000497,144785722.3318522,1,5457512,11838976,269307,2594,3,1.0,11,11
21,288.001063,134141802.973998,31,2712104,11856896,278845,1556,3,1.0,11,4
21,289.000831,141590606.3697428,1,6195992,11831808,280495,1535,3,1.0,11,11
21,290.000426,96508079.0807978,170,5952728,11860480,309800,4560,3,1.0,11,11
21,291.000801,120541033.20401432,2,5949832,11857920,287269,6186,3,1.0,11,1
21,292.000426,184618602.95822775,67,7276200,11815424,271631,1053,3,1.0,11,9
21,293.001087,151943083.2652395,2,7305160,11006976,274884,2866,3,1.0,11,3
21,294.000527,230815973.6301765,0,7549872,11844608,269796,2641,1,1.1,2,2
21,295.000276,182498030.1221149,2,9451096,11855360,283435,1022,3,1.0,11,3
21,296.000067,189831925.91497624,2,18250592,11422208,269280,5056,3,1.0,11,6
21,297.000812,123639849.13390364,631,5958520,11851264,268579,2539,2,0.9,6,6
21,298.000642,140533073.56104493,2,5958520,11800576,282299,2548,3,1.0,11,10
21,299.000742,179288564.16848072,0,6996736,11847168,268145,1516,3,1.0,11,11
21,300.00067,199243786.032949,2,7005424,11847168,267092,2130,3,1.0,11,11
21,300.272747,165720619.399587,0,7015560,11845632,276150,2155,3,1.0,11,5
22,1.00161,15703356.956727795,0,306976,501248,166720,896,3,1.0,11,11
22,2.000185,181662522.1528768,0,10715200,11830784,175864,1383,3,1.0,11,11
22,3.000591,177137421.4524847,1614,6919992,11840512,196357,3557,3,1.0,11,11
22,4.000238,256991832.64463195,0,6918544,11847168,174657,1195,3,1.0,11,11
22,5.00102,268225700.03188118,3,6721616,11862016,187464,9794,3,1.0,11,11
22,6.000364,337863113.14852625,0,9537976,11853824,188474,913,1,1.2,4,7
22,7.001087,220041868.77364728,4,8142104,11838976,188910,2954,3,1.0,11,11
22,8.000878,332468069.1439087,2,8136312,11855360,184541,8511,3,1.0,11,4
22,9.000355,329425143.8473905,0,9559696,11833344,181179,3122,3,1.0,11,5
22,10.000497,231702399.295617,4594,6604328,6835712,189080,7238,3,1.0,11,2
22,11.000564,138402759.6212088,1,6604328,11849728,181221,4990,2,0.9,6,9
22,12.000277,289490058.59440255,1,9367112,11853824,174929,767,3,1.0,11,4
22,13.00009,223388457.12248093,613,6808496,11849728,183911,3427,3,1.0,11,11
22,14.001068,179131306.83378026,601,6808496,7009792,187380,6117,3,1.0,11,5
22,15.000773,238096986.6555566,1,7994408,11851264,174373,2036,3,1.0,11,11
22,16.000387,265392169.292306,3,8004544,8974848,189568,5177,3,1.0,11,6
22,17.001085,234717198.345456,1,8359304,11838976,187965,3492,3,1.0,11,6
22,18.000626,262264383.38282293,291,7849608,11837440,188447,1357,3,1.0,11,11
22,19.000171,229742681.94204864,1,7843816,11852800,220802,6389,3,1.0,11,11
22,20.000606,202287174.15185735,672,9216520,11238912,235144,2969,3,1.0,11,11
22,21.000373,218154636.84284368,2,6862072,11837440,179929,1069,3,1.0,11,11
22,22.000192,239118613.08543614,1,6576816,11812864,189876,4066,3,1.0,11,3
22,23.00104,260874188.369957,1,9216520,11827712,209732,1043,3,1.0,11,6
22,24.00032,285418179.97069347,1,9226656,11814400,192167,4418,1,1.25,5,5
22,25.001006,182327138.56479543,1729,2465944,11833344,189887,1149,3,1.0,11,10
22,26.001053,136308477.80070144,0,2465944,11837440,180346,2786,3,1.0,11,6
22,27.000356,90240435.09171835,1,2465944,11855360,177260,2713,2,0.9,6,6
22,28.00151,135110393.9118106,0,2894552,11848704,178457,4891,3,1.0,11,9
22,29.001053,89169709.5595928,0,2988672,11821056,178380,1484,3,1.0,11,11
22,30.000095,182627185.4925636,0,6843248,11825152,178564,3907,3,1.0,11,9
22,31.001046,161327273.4204154,1509,4902928,8889344,183628,1468,3,1.0,11,11
22,32.000743,231805526.215177,0,4902928,11851264,171989,2011,3,1.0,11,11
22,33.000403,187758939.20300472,1,4901480,11855360,194189,1093,3,1.0,11,11
22,34.000556,225409364.6478506,0,4901480,11853824,179106,2535,3,1.0,11,11
