dataset_flag,location,t,bps,retransmits,snd_cwnd,snd_wnd,rtt,rttvar,phase,S_selected,best_action,random_action,reward_random,best_action_reward_based,best_gain_reward_based,reward_best
1,21,193.000572,217042424.6307449,1,10671760,11827712,287311,1980,3,1.0,11,1,0.8100839492251022,11,1.0,0.8150839492251022
1,21,194.00109,228471228.045879,0,5668920,11848704,278708,1326,1,1.1,2,3,0.9656229713168923,1,1.05,0.9754262502135105
1,21,195.001085,216007737.50541487,1,11844640,6851072,273083,4036,3,1.0,11,5,0.9009834519537246,11,1.0,0.9241546857312207
1,21,196.000957,106968440.87678161,756,9274440,11844608,266279,4653,2,0.9,6,6,0.08278460543479338,6,0.9,0.08278460543479338
1,21,197.000741,224443745.4723487,0,9274440,11856896,278368,827,3,1.0,11,3,0.948601004381089,11,1.0,0.9630467049554202
1,21,198.001092,243184285.95237878,2,15176488,6550016,273757,4107,3,1.0,11,1,0.9868831537919966,11,1.0,0.991848869359701
1,21,199.000093,106012079.29462157,792,6789672,11859456,264768,1490,3,1.0,11,10,0.05606616578775503,11,1.0,0.05606616578775503
1,21,200.000311,185557494.19616833,0,6789672,11838976,270158,3645,3,1.0,11,4,0.7426443853845545,11,1.0,0.7578003932495454
1,21,201.00108,181264252.32294187,0,7972688,11851264,270624,2127,3,1.0,11,9,0.7402671731878055,11,1.0,0.7402671731878055
1,21,202.000136,154286321.1204444,637,6779536,11853824,266403,2535,3,1.0,11,11,0.3010316781152086,11,1.0,0.3010316781152086
1,21,203.000355,182412277.99767378,0,6779536,11853824,268659,1089,3,1.0,11,11,0.7449556084975253,11,1.0,0.7449556084975253
1,21,204.000266,180371123.17839012,0,7959656,11849728,264775,2376,3,1.0,11,4,0.7218873185058529,11,1.0,0.7366197127610743
